configuration,feature,mean_abs_shap,rank,abbreviation,family
leaves_high,water_frac_slope_2000_2025,1.403124952048529e-05,53,WATs,Land cover
leaves_high,barren_frac_mean_2000_2025,6.835397925897269e-06,54,BARm,Land cover
leaves_high,shrub_frac_mean_2000_2025,4.8363117457483895e-06,55,SHRm,Land cover
leaves_high,barren_frac_slope_2000_2025,2.161892325602821e-06,56,BARs,Land cover
leaves_high,shrub_frac_slope_2000_2025,9.366885365125199e-07,57,SHRs,Land cover
l2_low,forest_frac_slope_2000_2025,0.0033601373434066772,1,FORs,Land cover
l2_low,mndwi_mean_2000_2025,0.0012824023142457008,2,MNDWIm,Hydrology
l2_low,mndwi_slope_2000_2025,0.0012382504064589739,3,MNDWIs,Hydrology
l2_low,built_frac_slope_2000_2025,0.0011710759717971087,4,BLTs,Land cover
l2_low,forest_frac_mean_2000_2025,0.0010706729954108596,5,FORm,Land cover
l2_low,cropland_frac_slope_2000_2025,0.0008493906352669001,6,CRPs,Land cover
l2_low,cropland_frac_mean_2000_2025,0.0007221077685244381,7,CRPm,Land cover
l2_low,slope_mean,0.0006962229963392019,8,SLOPE,Terrain
l2_low,terrain_northness_mean,0.0006135692237876356,9,NORTH,Terrain
l2_low,ssrd_wm2_slope_2000_2025,0.0005004013073630631,10,SRADs,Climate
l2_low,grass_frac_slope_2000_2025,0.0004536188789643347,11,GRSs,Land cover
l2_low,pdsi_slope_2000_2025,0.00043933955021202564,12,PDSIs,Hydrology
l2_low,elevation_mean,0.0003757356316782534,13,ELEV,Terrain
l2_low,terrain_tpi_5km,0.0003197805199306458,14,TPI5,Terrain
l2_low,hydro_hand_m,0.00031626757117919624,15,HAND,Hydrology
l2_low,pop_log_density_2000,0.00026551130576990545,16,POP,Human activity
l2_low,ntl_viirs_slope_2014_2025,0.00026385075761936605,17,NTLs,Human activity
l2_low,soil_water_top_slope_2000_2025,0.0002546480973251164,18,SWTs,Hydrology
l2_low,mkde3k,0.0002525686868466437,19,MKDE3,Human activity
l2_low,soil_water_rootzone_slope_2000_2025,0.0002346305118408054,20,SWRs,Hydrology
l2_low,prcp_mm_slope_2000_2025,0.00023317323939409107,21,PRCPs,Climate
l2_low,road_dist_km,0.0002298608742421493,22,RDIST,Human activity
l2_low,built_frac_mean_2000_2025,0.00022632171749137342,23,BLTm,Land cover
l2_low,terrain_eastness_mean,0.0002236564178019762,24,EAST,Terrain
l2_low,ntl_viirs_mean_2014_2025,0.0002204515621997416,25,NTLm,Human activity
l2_low,prcp_mm_mean_2000_2025,0.0002178393624490127,26,PRCPm,Climate
l2_low,pdsi_mean_2000_2025,0.00020392167789395899,27,PDSIm,Hydrology
l2_low,aet_mm_slope_2000_2025,0.00019479442562442273,28,AETs,Climate
l2_low,hydro_twi_proxy,0.0001914092863444239,29,TWI,Hydrology
l2_low,hydro_log_upstream_area,0.00018704270769376308,30,UPA,Hydrology
l2_low,mdist_km,0.00018242737860418856,31,MDIST,Human activity
